date,category,amount
2026-05-03,Groceries,42.50
2026-05-05,Transport,15.00
2026-05-09,Rent,450.00
2026-05-12,Entertainment,28.90
2026-05-15,Groceries,37.20
2026-05-18,Utilities,64.00
2026-05-22,Transport,20.00
2026-05-27,Entertainment,15.50
2026-06-02,Groceries,45.10
2026-06-04,Transport,18.00
2026-06-09,Rent,450.00
2026-06-11,Utilities,58.30
2026-06-14,Groceries,39.80
2026-06-19,Entertainment,32.00
2026-06-23,Transport,22.50
2026-06-28,Groceries,41.00
2026-07-03,Groceries,48.20
2026-07-05,Transport,19.50
2026-07-09,Rent,460.00
2026-07-13,Entertainment,40.00
2026-07-16,Utilities,61.75
2026-07-20,Groceries,35.60
2026-07-24,Transport,21.00
2026-07-29,Entertainment,22.30
